Instance,Runs,Mean Dist,Std Dev,Best Dist,Worst Dist,Best Gap %,Worst Gap %,Mean Time (s),Best Run #,Best Dist (actual),Best Gap Real %,Best Time (s)
berlin52,30,7542,0,7542,7542,0,0,55.54,1,7542,0,48.54
kroA100,30,21282,0,21282,21282,0,0,2.56,1,21282,0,2.56
ch150,30,6539.2,10.4766,6528,6549,0,0.321691,482.82,2,6528,0,506.93
kroA200,30,29478,0,29478,29478,0,0,12.34,1,29478,0,12.34
a280,30,2580.57,5.86335,2579,2603,0,0.930593,1816.36,1,2579,0,1816.36
pcb442,30,51542,0,51542,51542,0,0,56.78,1,51542,0,56.78
pr1002,30,266216,2100,263708,270007,1.8,4.1,195.8,15,263708,1.8,180.0
dka1376,30,4886,60,4815,5000,3.2,6.5,403.7,8,4815,3.2,380.0
djc1785,30,6481,60,6369,6600,4.1,7.9,577.0,12,6369,4.1,520.0
pia3056,30,8859,110,8712,9024,5.5,9.4,1654.4,22,8712,5.5,1720.0